date,firm_id,E,sigma_E,D,r,V,sigma_V,DD,PD_raw,PD_smoothed,success
2020-03-16,F,14896.0,0.6691,139485.0,0.0162,151783.1052370315,0.07079490053027372,1.3513921415620154,0.08272732528143933,0.026152131863707042,True
2020-03-17,F,14896.0,0.6626,139485.0,0.0161,151816.7846293589,0.06988976257464848,1.3705122014474151,0.07962850074542654,0.0315221863553769,True
2020-03-18,F,13367.2,0.6933,139485.0,0.0161,150218.47421041457,0.06742733784396877,1.2781802059108665,0.09602785191776536,0.03799707974734522,True
2020-03-19,F,13288.8,0.6598,139485.0,0.0161,150243.32355411694,0.06279449563379827,1.3750930081564718,0.07953525599353506,0.04216499071239771,True
2020-03-20,F,12896.8,0.6595,139485.0,0.016,149872.33197614053,0.06109012598737179,1.3750505700662365,0.07969686734265002,0.04592963513982471,True
2020-03-23,F,11916.8,0.6774,139485.0,0.016,148861.5787502934,0.05894795928099357,1.319703497223807,0.08921030502372751,0.05026958894682852,True
2020-03-24,F,14739.2,1.0062,139485.0,0.016,148880.43656926436,0.13258706829989717,0.5855458704149783,0.2925218960973416,0.07455468326218034,True
2020-03-25,F,16032.8,1.0487,139485.0,0.0159,149262.78318293643,0.15374000348499728,0.5188915800788919,0.32016442442308757,0.09917026782147038,True
2020-03-26,F,15601.6,1.0458,139485.0,0.0159,148955.52982110574,0.14953918025052998,0.5210227185180847,0.31887576902933595,0.12118477382451806,True
2020-03-27,F,15444.8,1.045,139485.0,0.0159,148838.962861678,0.148081857038198,0.5213598247511169,0.31858604834201376,0.14096043834910596,True
2020-03-30,F,14974.4,1.0461,139485.0,0.0158,148440.15396234073,0.14462602898787083,0.5162719823432528,0.3201853715752483,0.1589119648419263,True
2020-03-31,F,14347.2,1.0485,139485.0,0.0158,147877.76713862087,0.14019556298908847,0.5077883601509111,0.3229844167259419,0.1753431268739308,True
2020-04-01,F,13092.8,1.0698,139485.0,0.0158,146480.84761373058,0.13511482874800626,0.4618349602472126,0.3403262276134537,0.19186307842321434,True
2020-04-02,F,12975.2,1.0683,139485.0,0.0157,146427.77337507374,0.13370407329796477,0.4635244949290447,0.33948266018656803,0.20664246176530457,True
2020-04-03,F,12622.4,1.0686,139485.0,0.0157,146142.56147452872,0.13069997176294904,0.4603303182202056,0.34034947766885404,0.22002736630021147,True
2020-04-06,F,13484.8,1.0953,139485.0,0.0157,146318.40706299216,0.145247859301161,0.42154046014762486,0.3576479318822352,0.23380257825402798,True
2020-04-07,F,13994.4,1.1025,139485.0,0.0156,146580.5037569755,0.1517987387154773,0.4135289622034334,0.36176931963934983,0.24661026065264918,True
2020-04-08,F,14974.4,1.1264,139485.0,0.0156,146805.56685261894,0.16771766115564324,0.38230471173795916,0.376706143499577,0.2596299203473095,True
2020-04-09,F,15954.400000000001,1.1458,139485.0,0.0156,147075.78178658753,0.182903290187709,0.35941279308549534,0.3883737052377419,0.2725132682052123,True
2020-04-13,F,15366.4,1.1496,139485.0,0.0155,146545.83542794152,0.17871318320604612,0.3487166306186553,0.3921614989383779,0.28448559288273856,True
2020-04-14,F,15719.2,1.147,139485.0,0.0154,146892.7788106828,0.18111385832039958,0.3556291781479927,0.38966915325835033,0.2950098837876187,True
2020-04-15,F,14974.4,1.1512,139485.0,0.0154,146225.00764876962,0.17553737379620468,0.3429711787686588,0.3940453386742012,0.3049184581630012,True
2020-04-16,F,14700.0,1.1492,139485.0,0.0154,146071.35612892578,0.17229647768008927,0.3438292267748475,0.3931892872763919,0.3137495749157088,True
2020-04-17,F,15209.6,1.1506,139485.0,0.0153,146429.5195354639,0.17754389539358476,0.3458416305999304,0.3931698802735998,0.32169487174965206,True
2020-04-20,F,14817.6,1.1487,139485.0,0.0153,146184.92241549096,0.17323679032781045,0.34558189019876695,0.39261252621421483,0.3287892620388237,True
2020-04-21,F,14190.4,1.126,139485.0,0.0153,146257.49979751735,0.16036030265382548,0.3766232928705539,0.377943145001831,0.3337062876536967,True
2020-04-22,F,14190.4,1.1088,139485.0,0.0152,146652.74673421917,0.15530751725453112,0.4046330329713119,0.36584823838562386,0.3369214462799415,True
2020-04-23,F,14543.2,1.1018,139485.0,0.0152,147077.80623684297,0.15643196520041544,0.4188900315026916,0.36025167363215266,0.33925509845157326,True
2020-04-24,F,14504.0,1.0689,139485.0,0.0152,147712.33774749158,0.1468523122275822,0.473717274384418,0.3371211621422457,0.3390416530068773,True
2020-04-27,F,15366.4,1.0732,139485.0,0.0151,148342.64738201842,0.1552267266561201,0.47258814419036455,0.33859722682635973,0.33899720067712497,True
2020-04-28,F,15993.6,1.0277,139485.0,0.0151,149721.0847931139,0.147529847685977,0.5550205100584056,0.30551429155009463,0.3356482512703779,True
2020-04-29,F,15640.8,1.0305,139485.0,0.0151,149372.06661447108,0.14558995072643854,0.5478463683188015,0.30807817328261833,0.3328907554931667,True
2020-04-30,F,15131.2,0.9876,139485.0,0.015,149635.64594618592,0.13083404725334863,0.6218903447101088,0.2788896887779243,0.327489788620932,True
2020-05-01,F,14621.6,0.9936,139485.0,0.015,149105.15038105412,0.1285462653350787,0.607741404901789,0.28391359083562995,0.32313154412675565,True
2020-05-04,F,14464.8,0.989,139485.0,0.015,149036.04825352321,0.12629965131579868,0.6152710262917556,0.28095318706057587,0.318913164219568,True
2020-05-05,F,14778.4,0.9607,139485.0,0.0149,149711.20500472045,0.12200762196291139,0.6702880274899817,0.2607580021721754,0.31309697271831255,True
2020-05-06,F,14504.0,0.6851,139485.0,0.0149,151524.2371882343,0.0712653425409359,1.3042877144774419,0.09091540033824103,0.29087649353630485,True
2020-05-07,F,14504.0,0.6316,139485.0,0.0149,151678.38061400774,0.06411640255994326,1.4644262730738227,0.06585253767227549,0.26837198148811564,True
2020-05-08,F,15601.6,0.667,139485.0,0.0148,152676.09306383625,0.07334623252229776,1.3591251629383096,0.08119233808177695,0.24965243269683343,True
2020-05-11,F,15209.6,0.6696,139485.0,0.0148,152282.0768969133,0.0720893036622593,1.350618721690624,0.08273948713959683,0.2329598665456883,True
2020-05-12,F,14817.6,0.6683,139485.0,0.0148,151900.62172169288,0.07026813809004631,1.3534994169391665,0.0824203032769083,0.217904878054622,True
2020-05-13,F,14033.6,0.6757,139485.0,0.0147,151120.87785172858,0.0679385574543313,1.330050162186974,0.08663884138856043,0.2047774643786518,True
2020-05-14,F,14543.2,0.6279,139485.0,0.0147,151753.3627056897,0.06378457179043613,1.476234786202602,0.06423040052286902,0.1907219774456876,True
2020-05-15,F,14582.4,0.6267,139485.0,0.0147,151794.919105818,0.0637837271042532,1.4801379711441398,0.06369026340647452,0.17801817110605833,True
