date,firm_id,E,sigma_E,D,r,V,sigma_V,DD,PD,success
2020-01-02,AAPL,1231990.0,0.4678,132480.0,0.018,1362106.6931437645,0.42311290833521836,2.042737380259573,4.682540828057879e-08,True
2020-01-03,AAPL,1219920.0,0.4678,132480.0,0.0179,1350049.705424574,0.4227093093839466,2.042916914992739,5.1073552942716576e-08,True
2020-01-06,AAPL,1229780.0,0.4678,132480.0,0.0179,1359909.7054564802,0.42303623845796384,2.0427714984015206,4.7608416691704885e-08,True
2020-01-07,AAPL,1224000.0,0.4678,132480.0,0.0179,1354129.7054380698,0.422845167815526,2.0428564989598943,4.960840445350771e-08,True
2020-01-08,AAPL,1243550.0,0.4678,132480.0,0.0178,1373692.7191180696,0.42348094600819874,2.042573520115791,4.321748466139034e-08,True
2020-01-09,AAPL,1270070.0,0.4678,132480.0,0.0178,1400212.7191855134,0.4243203476891924,2.042199281331973,3.5863920907631614e-08,True
2020-01-10,AAPL,1272960.0,0.4678,132480.0,0.0178,1403102.7191920802,0.4244099036099576,2.0421593114709817,3.5146562426929e-08,True
2020-01-13,AAPL,1300160.0,0.4678,132480.0,0.0177,1430315.7341698133,0.42523118145918226,2.041792385630707,2.9119198181612398e-08,True
2020-01-14,AAPL,1282480.0,0.4678,132480.0,0.0177,1412635.734135119,0.4246984068128401,2.0420304937055116,3.291823985361095e-08,True
2020-01-15,AAPL,1277040.0,0.4678,132480.0,0.0177,1407195.7341234882,0.4245317828019478,2.042104902266438,3.418998433137803e-08,True
2020-01-16,AAPL,1293020.0,0.4678,132480.0,0.0176,1423188.750380316,0.4250137287943945,2.0418896045673733,3.062184935117758e-08,True
2020-01-17,AAPL,1307300.0,0.4678,132480.0,0.0176,1437468.7504065714,0.4254387730222134,2.041699530605125,2.774395296272834e-08,True
2020-01-21,AAPL,1298460.0,0.4678,132480.0,0.0175,1428641.7679163108,0.4251727782025832,2.041818501328581,2.951644990227175e-08,True
2020-01-22,AAPL,1303050.0,0.4678,132480.0,0.0175,1433231.7679247172,0.42530929408361673,2.041757451244801,2.859503602128905e-08,True
2020-01-23,AAPL,1309340.0,0.4678,132480.0,0.0174,1439534.7867632809,0.42549110938194135,2.041676113816447,2.7406139200908577e-08,True
2020-01-24,AAPL,1305600.0,0.4678,132480.0,0.0174,1435794.7867567579,0.4253809019810572,2.0417254205310997,2.8121630811049697e-08,True
2020-01-27,AAPL,1267180.0,0.4678,132480.0,0.0174,1397374.7866780874,0.42421461410322,2.042246460988237,3.6726911499252796e-08,True
2020-01-28,AAPL,1303050.0,0.4678,132480.0,0.0173,1433257.8068816413,0.4253015672061385,2.0417609072199476,2.8646523854247486e-08,True
2020-01-29,AAPL,1330420.0,0.4678,132480.0,0.0173,1460627.806926339,0.42609792465639207,2.0414044042042487,2.373899053060323e-08,True
2020-01-30,AAPL,1328380.0,0.4678,132480.0,0.0173,1458587.8069233096,0.42603959960048304,2.0414305362629825,2.407215267605143e-08,True
2020-01-31,AAPL,1269560.0,0.4678,132480.0,0.0172,1399780.8282444638,0.42428082873935613,2.0422169165135697,3.618442475405536e-08,True
2020-02-03,AAPL,1265990.0,0.4678,132480.0,0.0172,1396210.8282360726,0.4241695537168658,2.042266564048471,3.710003842853867e-08,True
2020-02-04,AAPL,1307810.0,0.4678,132480.0,0.0172,1438030.8283216,0.4254383893462849,2.041699702262473,2.7746442550457047e-08,True
2020-02-05,AAPL,1318520.0,0.4678,132480.0,0.0171,1448753.8510732956,0.42574772579573483,2.0415612560223897,2.580020238002797e-08,True
2020-02-06,AAPL,1333990.0,0.4678,132480.0,0.0171,1464223.8510968653,0.42619202161776726,2.0413622375593405,2.3209817436988644e-08,True
2020-02-07,AAPL,1315800.0,0.4678,132480.0,0.0171,1446033.8510688664,0.4256686251861296,2.0415966674391135,2.6286403281772886e-08,True
2020-02-10,AAPL,1322090.0,0.4678,132480.0,0.017,1452336.875115066,0.4258472768259853,2.041516680422052,2.5199254613316094e-08,True
2020-02-11,AAPL,1314100.0,0.4678,132480.0,0.017,1444346.8751021316,0.4256151981017331,2.041620581849342,2.6619216228592283e-08,True
2020-02-12,AAPL,1345210.0,0.4678,132480.0,0.017,1475456.8751484856,0.4265046642250755,2.0412220718956235,2.1523508704123967e-08,True
2020-02-13,AAPL,1335690.0,0.4678,132480.0,0.0169,1465949.9004739863,0.4262326993484564,2.0413440063089463,2.2984205504892218e-08,True
2020-02-14,AAPL,1336030.0,0.2622,132480.0,0.0169,1466289.900679223,0.23890709868337004,3.7595929346997345,6.6132673770673844e-24,True
2020-02-18,AAPL,1311550.0,0.2669,132480.0,0.0168,1441822.9273206121,0.24278480274309042,3.6916470932458676,6.825932129704103e-23,True
2020-02-19,AAPL,1330590.0,0.2687,132480.0,0.0168,1460862.9273206121,0.24473858998923986,3.666035300653888,8.859065932916187e-23,True
2020-02-20,AAPL,1316990.0,0.2705,132480.0,0.0168,1447262.9273206121,0.2461513994969353,3.641002557549028,2.257792670021543e-22,True
2020-02-21,AAPL,1287070.0,0.2769,132480.0,0.0167,1417355.9552647306,0.25144684486363506,3.5544814658383515,3.7450570942242435e-21,True
2020-02-24,AAPL,1226040.0,0.3042,132480.0,0.0167,1356325.9552647306,0.2749791571504688,3.225369147279176,2.5920751406706132e-17,True
2020-02-25,AAPL,1184390.0,0.3186,132480.0,0.0167,1314675.9552647306,0.28702635998542725,3.0743129881683813,1.2853884703842142e-15,True
2020-02-26,AAPL,1203260.0,0.3154,132480.0,0.0166,1333558.9845117084,0.2845829906346134,3.1066037790770795,4.862516257177313e-16,True
