date,firm_id,equity_vol
2020-03-30,AAPL,0.9165
2020-03-31,AAPL,0.9159
2020-04-01,AAPL,0.9235
2020-04-02,AAPL,0.9263
2020-04-03,AAPL,0.9254
2020-04-06,AAPL,0.956
2020-04-07,AAPL,0.9518
2020-04-08,AAPL,0.9538
2020-04-09,AAPL,0.9345
2020-04-13,AAPL,0.9361
2020-04-14,AAPL,0.9076
2020-04-15,AAPL,0.9031
2020-04-16,AAPL,0.8931
2020-04-17,AAPL,0.8889
2020-04-20,AAPL,0.8901
2020-04-21,AAPL,0.8634
2020-04-22,AAPL,0.8416
2020-04-23,AAPL,0.8352
2020-04-24,AAPL,0.7826
2020-04-27,AAPL,0.7037
2020-04-28,AAPL,0.589
2020-04-29,AAPL,0.5835
2020-04-30,AAPL,0.5784
2020-05-01,AAPL,0.5807
2020-05-04,AAPL,0.5421
2020-05-05,AAPL,0.5348
2020-05-06,AAPL,0.4612
2020-05-07,AAPL,0.4598
2020-05-08,AAPL,0.4425
2020-05-11,AAPL,0.419
2020-05-12,AAPL,0.4184
2020-05-13,AAPL,0.4213
2020-05-14,AAPL,0.3819
2020-05-15,AAPL,0.3834
2020-05-18,AAPL,0.3799
2020-05-19,AAPL,0.3016
2020-05-20,AAPL,0.2991
2020-05-21,AAPL,0.2968
2020-05-22,AAPL,0.2968
2020-05-26,AAPL,0.2962
2020-05-27,AAPL,0.2632
2020-05-28,AAPL,0.2606
2020-05-29,AAPL,0.2607
2020-06-01,AAPL,0.2566
2020-06-02,AAPL,0.2451
2020-06-03,AAPL,0.2197
2020-06-04,AAPL,0.2135
2020-06-05,AAPL,0.2218
2020-06-08,AAPL,0.2113
2020-06-09,AAPL,0.2236
2020-06-10,AAPL,0.2193
2020-06-11,AAPL,0.2612
2020-06-12,AAPL,0.2571
2020-06-15,AAPL,0.25
2020-06-16,AAPL,0.256
2020-06-17,AAPL,0.2556
2020-06-18,AAPL,0.2557
2020-06-19,AAPL,0.2573
2020-06-22,AAPL,0.2589
2020-06-23,AAPL,0.2614
2020-06-24,AAPL,0.2654
2020-06-25,AAPL,0.2614
2020-06-26,AAPL,0.282
2020-06-29,AAPL,0.2851
2020-06-30,AAPL,0.2801
2020-07-01,AAPL,0.2791
2020-07-02,AAPL,0.2761
2020-07-06,AAPL,0.2809
2020-07-07,AAPL,0.2821
2020-07-08,AAPL,0.2843
2020-07-09,AAPL,0.2843
2020-07-10,AAPL,0.2841
2020-07-13,AAPL,0.2851
2020-07-14,AAPL,0.2861
2020-07-15,AAPL,0.2861
2020-07-16,AAPL,0.2912
2020-07-17,AAPL,0.289
2020-07-20,AAPL,0.2848
2020-07-21,AAPL,0.2904
2020-07-22,AAPL,0.2795
2020-07-23,AAPL,0.3069
2020-07-24,AAPL,0.2686
2020-07-27,AAPL,0.2746
2020-07-28,AAPL,0.2795
2020-07-29,AAPL,0.2749
2020-07-30,AAPL,0.276
2020-07-31,AAPL,0.4031
2020-08-03,AAPL,0.4049
2020-08-04,AAPL,0.401
2020-08-05,AAPL,0.3988
2020-08-06,AAPL,0.4003
2020-08-07,AAPL,0.4098
2020-08-10,AAPL,0.3944
2020-08-11,AAPL,0.4069
2020-08-12,AAPL,0.4141
2020-08-13,AAPL,0.4141
2020-08-14,AAPL,0.4143
2020-08-17,AAPL,0.4115
2020-08-18,AAPL,0.4104
2020-08-19,AAPL,0.408
2020-08-20,AAPL,0.4103
2020-08-21,AAPL,0.4293
2020-08-24,AAPL,0.4274
2020-08-25,AAPL,0.4299
2020-08-26,AAPL,0.4301
2020-08-27,AAPL,0.4299
2020-08-28,AAPL,0.4298
2020-08-31,AAPL,0.4345
2020-09-01,AAPL,0.4373
2020-09-02,AAPL,0.4465
2020-09-03,AAPL,0.493
2020-09-04,AAPL,0.4924
2020-09-08,AAPL,0.5381
2020-09-09,AAPL,0.542
2020-09-10,AAPL,0.5537
2020-09-11,AAPL,0.5563
2020-09-14,AAPL,0.4774
2020-09-15,AAPL,0.4728
2020-09-16,AAPL,0.4816
2020-09-17,AAPL,0.4841
2020-09-18,AAPL,0.4816
2020-09-21,AAPL,0.4859
2020-09-22,AAPL,0.4862
2020-09-23,AAPL,0.494
2020-09-24,AAPL,0.4848
2020-09-25,AAPL,0.4948
2020-09-28,AAPL,0.4997
2020-09-29,AAPL,0.5002
2020-09-30,AAPL,0.5015
2020-10-01,AAPL,0.502
2020-10-02,AAPL,0.5067
2020-10-05,AAPL,0.4913
2020-10-06,AAPL,0.4956
